key_gvkey,gvkey,conm,cik,fyear,cmonth,cyear,datadate,indfmt,sich,consol,popsrc,datafmt,curcd,fyr,act,ap,aqc,aqs,acqsc,at,ceq,che,cogs,csho,dlc,dp,dpc,dt,dvpd,exchg,gdwl,ib,ibc,intan,invt,lct,lt,ni,capx,oancf,ivncf,fincf,oiadp,pi,ppent,ppegt,rectr,sale,seq,txt,xint,xsga,costat,mkvalt,prcc_f,recch,invch,apalch,txach,aoloch,gdwlip,spi,wdp,rcp
2879043982,28790,LAMB WESTON HOLDINGS INC,1679273,2019,05,2020,5/31/2020,INDL,2030,C,D,STD,USD,5,2302.6,244.4,116.7,NA,NA,4662.3,240,1364,2672.4,146.039,575.9,177.8,184,3214.4,NA,11,303.8,365.9,365.9,342.1,486.7,1024.9,4422.3,365.9,167.7,574,-346,1125,614.9,478.2,1702,3109.7,342.1,3792.4,240,112.3,108.9,327.3,A,8771.1023,60.06,1.1,15.3,-51,NA,0.7,NA,-59.7,NA,NA
2893043830,28930,MARRIOTT INTL INC,1048286,2019,12,2019,12/31/2019,INDL,7011,C,D,STD,USD,12,3127,720,0,NA,NA,25051,703,225,18572,324,1107,348,NA,11952,NA,14,9048,1273,1273,17689,0,6677,24348,1273,653,1685,-284,-1508,2052,1599,2792,4093,2386,20972,703,326,394,NA,A,49063.32,151.43,NA,0,NA,0,-16,NA,-252,-148,NA
2893044196,28930,MARRIOTT INTL INC,1048286,2020,12,2020,12/31/2020,INDL,7011,C,D,STD,USD,12,2825,527,0,NA,NA,24701,430,877,9378,324.4,1320,303,NA,11346,NA,14,9175,-267,-267,18164,0,5752,24271,-267,135,1639,35,-1033,954,-466,2266,3154,1764,10635,430,-199,445,NA,A,42794.848,131.92,NA,0,NA,0,507,NA,-947,-257,-617
2902843708,29028,COSTCO WHOLESALE CORP,909832,2019,08,2019,8/31/2019,INDL,5399,C,D,STD,USD,8,23485,11679,0,NA,NA,45400,15243,9444,131394,439.625,1725,1492,1492,7244,NA,14,0,3659,3704,0,11395,23237,29816,3659,2998,6356,-2865,-1147,4860,4765,20890,32626,NA,152703,15243,1061,150,14957,A,129583.865,294.76,NA,-536,322,NA,623,NA,-123,NA,NA
2902844074,29028,COSTCO WHOLESALE CORP,909832,2020,08,2020,8/31/2020,INDL,5399,C,D,STD,USD,8,28120,14172,1163,NA,NA,55556,18284,13305,143186,441.255,357,1645,1645,11086,NA,14,988,4002,4059,988,12242,24844,36851,4002,2810,8861,-3891,-1147,5939,5367,25187,38083,NA,166761,18284,1308,160,15991,A,153406.7133,347.66,NA,-791,2261,0,728,NA,-540,NA,NA
2909943830,29099,REGENCY CENTERS CORP,910606,2019,12,2019,12/31/2019,INDL,6798,C,D,STD,USD,12,NA,213.705,0,0,NA,11132.253,6213.348,152.411,738.559,167.131,50.359,NA,385.453,4142.462,NA,14,307.434,239.43,243.258,550.256,0,NA,4842.292,239.43,0,621.271,-282.693,-268.206,381.62,244.503,7.098,NA,131.993,1195.163,6213.348,1.245,156.525,74.984,A,10544.2948,63.09,-4.69,0,NA,0,-3.343,-3.1,-15.082,NA,NA
2909944196,29099,REGENCY CENTERS CORP,910606,2020,12,2020,12/31/2020,INDL,6798,C,D,STD,USD,12,NA,302.361,0,NA,NA,10936.904,5984.912,419.414,690.51,169.22,43.16,NA,354.923,4143.474,NA,14,173.868,44.889,47.317,362.667,0,NA,4878.757,44.889,0,499.118,-25.641,-210.589,286.433,48.583,6.56,NA,126.273,1051.944,5984.912,1.266,162.633,75.001,A,7714.7398,45.59,16.944,0,NA,0,-10.826,-132.128,-153.965,NA,NA
2912743830,29127,INCYTE CORP,879169,2019,12,2019,12/31/2019,INDL,2836,C,D,STD,USD,12,2481.488,83.647,NA,NA,NA,3426.75,2598.406,2117.554,60.649,216.178,28.307,53.6,54.533,72.079,NA,14,155.593,446.906,446.906,349.421,11.4,513.34,828.344,446.906,78.064,710.656,-87.454,45.711,421.688,486.791,406.625,528.495,305.409,2158.759,2598.406,39.885,1.855,1622.822,A,18876.663,87.32,-1.211,-6.1,NA,0,64.606,NA,-19.682,NA,NA
2912744196,29127,INCYTE CORP,879169,2020,12,2020,12/31/2020,INDL,2836,C,D,STD,USD,12,2359.894,98.767,0,NA,NA,3560.918,2611.268,1801.377,123.029,219.489,14.958,51.1,51.807,61.719,NA,14,155.593,-295.697,-295.697,327.884,16.425,631.195,949.65,-295.697,187.379,-124.599,-269.001,71.709,-240.291,-232.218,588.076,732.45,479.994,2666.702,2611.268,63.479,2.174,2732.864,A,19091.1532,86.98,-173.185,-19.468,NA,0,120.912,NA,-23.385,NA,NA
2938943830,29389,SIMON PROPERTY GROUP INC,1063761,2019,12,2019,12/31/2019,INDL,6798,C,D,STD,USD,12,NA,1390.682,0,NA,NA,31231.63,2483.978,669.373,2472.045,306.869,2857.06,NA,1394.172,23352.989,NA,11,20.098,2101.584,2423.188,95.852,0,NA,28101.319,2101.584,0,3807.831,-1076.707,-2576.086,3273.68,2453.242,NA,NA,832.151,6121.038,2526.398,30.054,822.695,375.313,A,NA,148.96,-0.157,0,NA,0,-36.238,NA,-37.756,NA,NA
2938944196,29389,SIMON PROPERTY GROUP INC,1063761,2020,12,2020,12/31/2020,INDL,6798,C,D,STD,USD,12,NA,1311.925,0,NA,NA,34786.846,2997.381,1011.613,2342.841,328.501,2322.729,NA,1354.991,26615.833,NA,11,20.098,1112.564,1277.324,55.056,0,NA,31128.608,1112.564,0,2326.698,-3978.398,1993.94,2186.479,1272.687,NA,NA,1236.734,4822.173,3039.472,-4.637,807.317,292.853,A,28014.5653,85.28,-415.911,0,NA,0,-9.111,NA,-50,-55.2,NA
2939243830,29392,EASTMAN CHEMICAL CO,915389,2019,12,2019,12/31/2019,INDL,2821,C,D,STD,USD,12,3321,890,48,NA,NA,16008,5958,204,6429,135.942,226,610,611,5807,NA,11,4431,759,762,6442,1662,1789,9976,759,425,1504,-480,-1043,1309,902,5768,13101,1045,9273,5958,140,225,925,A,10774.7629,79.26,170,-80,-27,NA,-51,-45,-126,NA,-81
2939244196,29392,EASTMAN CHEMICAL CO,915389,2020,12,2020,12/31/2020,INDL,2821,C,D,STD,USD,12,3541,799,1,NA,NA,16083,6023,564,5925,135.811,405,565,574,5747,NA,11,4465,478,489,6257,1379,2038,9975,478,383,1455,-394,-704,1103,530,5725,13707,1095,8473,6023,41,218,880,A,13619.1271,100.28,-31,291,-100,NA,92,-123,-236,NA,-112
2964943830,29649,MID-AMERICA APT CMNTYS INC,912595,2019,12,2019,12/31/2019,INDL,6798,C,D,STD,USD,12,NA,97.543,0,NA,NA,11230.45,6068.556,70.541,1164.699,114.246,207.805,NA,503.568,4417.717,NA,11,NA,353.811,366.618,2.6,0,NA,4926.86,353.811,0,781.42,-238.273,-524.279,453.989,370.314,NA,NA,NA,1664.809,6082.696,3.696,182.736,46.121,A,NA,131.86,NA,0,NA,0,0,NA,3.137,NA,NA
2964944196,29649,MID-AMERICA APT CMNTYS INC,912595,2020,12,2020,12/31/2020,INDL,6798,C,D,STD,USD,12,NA,134.034,0,NA,NA,11194.791,5871.624,35.615,1203.613,114.374,363.505,NA,516.638,4422.452,NA,11,NA,254.962,264.015,1.3,0,NA,5090.986,254.962,0,823.949,-484.731,-374.144,438.235,267.342,NA,NA,NA,1688.706,5887.03,3.327,174.474,46.858,A,14490.0421,126.69,NA,0,NA,0,0,NA,-4.364,NA,NA
2973343830,29733,MARTIN MARIETTA MATERIALS,916076,2019,12,2019,12/31/2019,INDL,1400,C,D,STD,USD,12,1426.7,229.6,0,NA,NA,10131.6,5350.8,21,3192.7,62.4,395.5,367.4,371.5,3268.9,NA,11,2396.8,611.9,612,2883.6,690.8,838.5,4778.3,611.9,393.5,966.1,-385.9,-604.1,876.3,748.3,5687.9,9115.4,569.9,4739.1,5350.8,136.3,134.4,302.7,A,17449.536,279.64,-50.4,-27.7,25.9,NA,-34.2,NA,-12,NA,NA
2973344196,29733,MARTIN MARIETTA MATERIALS,916076,2020,12,2020,12/31/2020,INDL,1400,C,D,STD,USD,12,1668.3,207.8,65.1,NA,NA,10580.8,5890.7,304.4,3087.4,62.3,51.9,389.7,393.5,3109.3,NA,11,2414,721,721.1,2922,709,499.3,4687.5,721,359.7,1050.1,-409.7,-357,952.9,889.3,5695.3,9408,577.3,4729.9,5890.7,168.2,122.3,299.9,A,17691.331,283.97,6.1,-19.3,-34,0,-20.2,NA,62.6,NA,NA
2973643830,29736,TRACTOR SUPPLY CO,916365,2019,12,2019,12/31/2019,INDL,5200,C,D,STD,USD,12,1787.887,643.036,0,NA,NA,5289.268,1567.123,84.241,5480.161,118.165,311.135,195.978,195.978,2709.166,NA,14,93.192,562.354,562.354,124.492,1602.781,1247.6,3722.145,562.354,217.45,811.716,-214.961,-598.813,746.162,723.377,3352.758,4740.293,0,8351.931,1567.123,161.023,19.843,1929.63,A,11041.3376,93.44,0,-13.239,19.115,NA,9.909,NA,-2.942,NA,-2.942
2973644196,29736,TRACTOR SUPPLY CO,916365,2020,12,2020,12/31/2020,INDL,5200,C,D,STD,USD,12,3258.685,976.096,0,NA,NA,7049.116,1923.84,1341.756,6858.803,116.246,303.25,217.124,217.124,3541.574,NA,14,32.419,748.958,748.958,55.52,1783.27,1743.798,5125.276,748.958,294.002,1394.515,-292.21,155.21,1187.979,968.147,3672.841,5254.215,0,10620.352,1923.84,219.189,28.781,2356.446,A,16341.8627,140.58,0,-180.489,485.411,NA,45.083,-68.973,-191.051,-5.078,NA
2975143830,29751,ALBEMARLE CORP,915913,2019,12,2019,12/31/2019,INDL,2810,C,D,STD,USD,12,2225.109,574.138,820,NA,NA,9860.863,3932.25,613.11,2116.465,106.04,210.473,213.484,213.484,3001.38,NA,11,1578.785,533.228,604.357,1933.407,768.984,1408.996,5767.283,533.228,851.796,719.374,-1663.625,1042.687,762.65,692.518,5043.337,6951.707,612.651,3589.427,3932.25,88.161,83.066,496.828,A,7745.1616,73.04,-18.22,-46.304,-12.234,NA,-37.581,NA,-104.78,NA,-5.877
2975144196,29751,ALBEMARLE CORP,915913,2020,12,2020,12/31/2020,INDL,2810,C,D,STD,USD,12,2206.184,483.221,22.572,NA,NA,10450.946,4268.227,746.724,1900.072,106.842,826.974,231.984,231.984,3386.12,NA,11,1665.52,375.764,446.615,2014.625,750.237,1801.849,5982.352,375.764,850.477,798.914,-863.573,177.261,551.175,501.04,5490.917,7563.933,530.838,3128.909,4268.227,54.425,103.516,445.678,A,15761.3318,147.52,100.118,51.978,NA,NA,-238.628,NA,-42.882,NA,-19.9
2980443830,29804,INVESCO LTD,914208,2019,12,2019,12/31/2019,INDL,6282,C,D,STD,USD,12,NA,11250.2,-290.5,NA,NA,39420.3,9852,1701.2,4506.2,453.3,0,177.6,177.6,8679.7,NA,11,8509.4,688.3,737.8,15867.7,0,NA,24718.5,688.3,124.3,1109.2,-1425.4,201.3,1433.6,972.9,908.5,1827.7,NA,6117.4,13862.5,235.1,364.2,NA,A,8150.334,17.98,934.3,0,NA,NA,-795.3,NA,-633.2,NA,-23.3
2980444196,29804,INVESCO LTD,914208,2020,12,2020,12/31/2020,INDL,6282,C,D,STD,USD,12,NA,7931,0,NA,NA,36504.1,10351.3,1710.1,4585.6,459.1,0,203.5,203.5,9115.9,NA,11,8916.3,761.6,807.5,16221.9,0,NA,21483.4,761.6,115,1235.8,-865.1,-285.9,1356.5,1069.1,839.5,1841.2,NA,6145.6,14361.8,261.6,323.8,NA,A,NA,17.43,3744.4,0,NA,NA,-3597.8,NA,-420.9,NA,-147.8
2983043738,29830,WESTROCK CO,1732845,2019,09,2019,9/30/2019,INDL,2650,C,D,STD,USD,9,4974.3,1831.8,3374.2,NA,NA,30156.7,11669.9,151.6,13432.9,257.8,561.1,1440.5,1511.2,10063.4,NA,11,7285.6,862.9,867.9,11345.1,2107.5,3435.1,18470.6,862.9,1369.1,2310.2,-4579.6,1780.2,1700.4,1144.7,11189.5,17461.3,2381.2,18289,11669.9,276.8,489.4,1715.2,A,9396.81,36.45,272.9,-110.5,NA,0,-210.4,NA,-245.6,NA,NA
