,key_gvkey,key_gvkey_fund,key_tic,month,quarter,year,qyear,date,comnam,permno,hsiccd,ticker,gvkey,prc,prc_change,prc_change_perc,S&P500_index,S&P500_index_change,S&P500_index_change_perc,EA,Intercept3d,Slope3d,Exp. Return1 [-1],Exp. Return1 [0],Exp. Return1 [1],AR1 [-1],AR1 [0],AR1 [1],CAR3d,Intercept4d,Slope4d,Exp. Return2 [-3],Exp. Return2 [-2],Exp. Return2 [-1],Exp. Return2 [0],AR2 [-3],AR2 [-2],AR2 [-1],AR2 [0],CAR4d,UE,fund_at,fund_ceq,fund_dt,fund_gdwl,fund_ni,fund_mkvalt
377,459822020,459822020,FDX44012,6,2,2020,22020,30-06-2020,FEDEX CORP,60628,4513,FDX,4598,140.2200012,16.44000244,0.117244347,125.9488319,0.775441647,0.006156799,30-06-2020,-0.000470077,1.12199033,0.016418452,0.006437792,0.00604706,0.025722001,0.110806554,-0.013579346,0.12294921,-0.00061267,1.113809927,-0.022355361,0.015947543,0.016152725,0.006244833,-0.021947032,0.018415934,0.025987729,0.139191379,0.16164801,-0.3,73537,18295,36121,6372,1286,34150.8403
378,459832020,#N/A,FDX44089,9,3,2020,32020,15-09-2020,FEDEX CORP,60628,4513,FDX,4598,236.6699982,13.63000488,0.057590759,137.3471894,-0.165747174,-0.001206775,15-09-2020,0.001125101,1.107926275,0.006663674,-0.000211917,-0.008083393,-0.005267373,0.057802677,-0.016766791,0.035768513,0.000944247,1.107391398,0.002650156,0.01483684,0.006480146,-0.000392125,0.034553509,0.00041297,-0.005083845,0.02303725,0.052919884,2.49,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
379,459842020,#N/A,FDX44182,12,4,2020,42020,17-12-2020,FEDEX CORP,60628,4513,FDX,4598,292.2600098,-16.69000244,-0.057106692,151.6750953,-0.171102381,-0.001128085,17-12-2020,0.00235752,1.076530337,0.010682447,0.001143103,-0.001045342,0.001263165,-0.058249795,-0.012127372,-0.069114002,0.001952335,1.07860549,0.014758845,0.003060447,0.010293309,0.000735576,-0.014058482,0.007683612,0.001652303,-0.04304821,-0.047770777,1.29,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
380,464012020,#N/A,FITB43852,1,1,2020,12020,22-01-2020,FIFTH THIRD BANCORP,34746,6711,FITB,4640,29.34000015,0.020000458,0.000681679,134.6110683,0.365705334,0.002716755,22-01-2020,-0.000795218,1.186071,-0.000735897,0.002427047,-0.012383047,0.011762764,-0.001745368,-0.00532814,0.004689256,-0.000556233,1.140164692,0.003192937,-0.003943472,-0.000499208,0.002541316,-0.001151379,-0.010657557,0.011526075,0.001833058,0.001550197,-0.04,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
381,464022020,#N/A,FITB43942,4,2,2020,22020,21-04-2020,FIFTH THIRD BANCORP,34746,6711,FITB,4640,16.26000023,0.239999771,0.014760133,109.7236563,2.492427187,0.022715495,21-04-2020,-0.00135114,1.57806418,-0.048199063,0.034495369,-0.002970993,0.023019203,-0.019735236,0.024789212,0.028073179,-0.001725664,1.561800113,0.047983592,-0.031829637,-0.048090756,0.033751399,0.077947258,0.03483632,0.022910896,-0.063187124,0.07250735,-0.51,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
382,464032020,#N/A,FITB44035,7,3,2020,32020,23-07-2020,FIFTH THIRD BANCORP,34746,6711,FITB,4640,19.40500069,0.135000229,0.006956981,132.9173788,-0.762084477,-0.00573352,23-07-2020,-0.001661865,1.688595756,-0.01598457,-0.011343463,0.013150733,0.015212202,0.018300444,-0.019292025,0.014220621,-0.001745527,1.687628953,0.003184151,0.010720197,-0.016060032,-0.011421582,0.046138332,-0.007621051,0.015287664,-0.03918135,0.014623594,-0.01,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
383,464042020,464042020,FITB44126,10,4,2020,42020,22-10-2020,FIFTH THIRD BANCORP,34746,6711,FITB,4640,23.96500015,0.454999924,0.018986018,141.2613558,0.880476705,0.006232962,22-10-2020,-0.000956354,1.679234373,0.010047947,0.00951025,-0.034318305,0.009739294,0.009475768,-0.005403206,0.013811855,-0.001082793,1.677983238,0.005830018,-0.004898374,0.009913309,0.009376013,0.024762298,-0.005627941,0.009873932,-0.00577628,0.023232009,0.36,204680,20995,0,4258,1427,19650.7932
384,1263512020,#N/A,FISV43865,2,1,2020,12020,4/2/2020,FISERV INC,10696,7370,FISV,12635,123.8899994,-2.220001221,-0.017919132,132.9009124,1.57191957,0.011827756,4/2/2020,0.000848326,1.036457257,0.015090317,0.01310729,0.002326194,0.000901128,-0.031026422,-0.002326194,-0.032451487,0.000847224,1.025448251,-0.016371667,0.00816336,0.01493794,0.012975975,-0.005240167,0.01991186,0.001053506,-0.012678965,0.003046234,-0.01,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
385,1263522020,#N/A,FISV43958,5,2,2020,22020,7/5/2020,FISERV INC,10696,7370,FISV,12635,107.3199997,-2.540000916,-0.023667545,115.6120003,1.913155853,0.016548073,7/5/2020,0.001130068,1.172846551,0.017582714,0.020538419,0.000617474,-0.00023508,-0.044205964,-0.029726039,-0.074167084,0.000961168,1.174061797,0.013510032,-0.00880764,0.017430861,0.020389629,0.009042666,0.024795273,-8.32E-05,-0.03271021,0.001044501,-0.07,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
386,1263532020,#N/A,FISV44048,8,3,2020,32020,5/8/2020,FISERV INC,10696,7370,FISV,12635,98,4.379997253,0.04469385,135.6759578,0.154873892,0.001141498,5/8/2020,-0.000678757,1.164899419,0.007761882,0.000650974,0.003055908,-0.02431985,0.044042876,0.01188848,0.031611505,-0.000548043,1.166612982,0.002340438,0.003612825,0.007905012,0.000783644,0.005175345,-0.012465017,-0.02446298,0.039518504,0.007765853,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
